Date_Time,Vehicle_ID,Battery_Capacity_kWh,State_of_Charge_%,Energy_Consumption_Rate_kWh/km,Current_Latitude,Current_Longitude,Destination_Latitude,Destination_Longitude,Distance_to_Destination_km,Traffic_Data,Road_Conditions,Charging_Station_ID,Charging_Rate_kW,Queue_Time_mins,Station_Capacity_EV,Time_Spent_Charging_mins,Energy_Drawn_kWh,Session_Start_Hour,Fleet_Size,Fleet_Schedule,Temperature_C,Wind_Speed_m/s,Precipitation_mm,Weekday,Charging_Preferences,Weather_Conditions,Charging_Load_kW
01-01-2017 00:00,106,66.74648266,50.2165243,0.153520611,32.7772661,-96.78830072,32.7840137,-96.79577574,30.53114365,3,Good,2,49.53070904,5.676949303,1,93.14410494,43.01222943,6,10,0,13.95436778,0.144764726,0.712211206,1,0,Cloudy,30.8396773
01-01-2017 01:00,106,82.73149609,59.35860895,0.11910123,32.77913579,-96.78613687,32.77840585,-96.79830952,1.004304741,1,Good,2,45.67612425,6.36305805,2,46.37722097,37.02465499,6,10,0,38.92646596,0.4610608,2.746260182,3,0,Cloudy,47.35469055
01-01-2017 02:00,106,82.10791251,14.46083139,0.1,32.76934627,-96.80246963,32.77048658,-96.79595298,5.289771505,3,Good,2,39.17125174,4.219566772,2,43.91859672,28.18167476,6,50,0,22.16451582,0.708376372,2.502156484,4,1,Clear,44.45919798
01-01-2017 03:00,106,95.52675185,23.00392288,0.286505269,32.76609296,-96.79022923,32.76574452,-96.81885534,7.267379876,2,Good,2,52.98092424,7.508617768,4,48.08226027,43.9090717,6,200,0,16.00084479,1.591272853,1.796915968,3,0,Clear,52.46880068
01-01-2017 04:00,106,61.24759734,9.064809541,0.1,32.79617431,-96.78242086,32.76548872,-96.79124066,32.44905833,1,Good,2,35.79384743,7.319032776,2,56.12737685,58.99922403,6,10,1,23.1703676,1.753500085,1.547111809,2,0,Clear,53.47375636
01-01-2017 05:00,106,73.1377923,27.88623292,0.162663575,32.78081919,-96.79246434,32.77426032,-96.78354986,38.02446254,3,Average,2,38.73920736,0.266509681,4,58.70933987,25.22236818,6,100,0,16.85671759,6.746994281,3.206711969,3,0,Clear,63.17696242
01-01-2017 06:00,106,44.83555665,28.14433375,0.127637773,32.7692237,-96.79586589,32.77604275,-96.80638718,18.70976355,1,Average,2,49.27968746,1.829619508,4,75.44614136,27.07398787,6,10,0,18.85629775,0.39161093,0.685295305,0,1,Clear,29.38510138
01-01-2017 07:00,106,67.60794863,16.41882426,0.1,32.80843595,-96.79915969,32.79063687,-96.8036048,15.27755216,2,Good,2,35.33434539,1.095417017,4,30.59420203,26.48940989,6,50,0,30.23766634,1.898137689,3.084177036,0,0,Clear,32.82520904
01-01-2017 08:00,106,80.88869626,11.20791672,0.143587225,32.7752281,-96.78941374,32.78182758,-96.80546684,19.63650502,1,Average,2,50.94878583,1.183246486,4,46.81135718,37.90729184,6,10,0,8.537351031,0.127354652,0.453906137,2,0,Cloudy,30.25578091
01-01-2017 09:00,106,61.06223,28.42042235,0.1,32.77780088,-96.80717597,32.77460183,-96.80398505,17.25735078,6,Good,2,53.75790431,0.306237005,1,38.19608906,29.60284703,6,10,0,21.85470112,0.543788212,1.631103425,0,0,Clear,56.81517821
01-01-2017 10:00,106,76.19747718,40.10612341,0.1,32.77856352,-96.79972917,32.77138891,-96.80827952,98.26327497,4,Good,2,59.87598826,0.657992751,4,71.25626713,39.81015736,6,50,0,36.03071365,0.976283068,1.322216107,0,0,Cloudy,43.73780846
01-01-2017 11:00,106,72.60725248,11.01374014,0.3,32.7750876,-96.80501137,32.78078653,-96.79786841,13.45847298,0,Good,2,47.81518211,5.57374224,4,69.96911626,56.97239642,6,50,0,22.16835124,2.560410256,6.147682731,6,0,Clear,37.21220596
01-01-2017 12:00,106,75.3333274,65.20872364,0.1,32.75568912,-96.80899705,32.78841448,-96.80317225,9.495314951,1,Good,2,45.56409782,2.440921964,2,69.32933798,24.89886355,6,10,0,33.08509192,0.235306875,0.9364713,4,0,Cloudy,42.66809329
01-01-2017 13:00,106,68.5831063,20.11962943,0.1,32.79980006,-96.81655116,32.7606033,-96.81146271,6.867484137,3,Good,2,62.23472333,3.776992847,2,44.9044872,50.99052773,6,200,0,12.58594498,0.234609015,3.634298229,6,0,Clear,32.81084907
